cnt,casual,registered,season,workingday,temp,hum,windspeed
190,51,115,Fall,0,23.2,0.63,0.27
171,57,134,Summer,1,23.6,0.34,0.41
190,63,118,Summer,1,9.2,0.61,0.34
175,65,120,Winter,0,13.3,0.78,0.46
174,53,137,Winter,1,17.8,0.58,0.28
197,67,112,Summer,0,12.5,0.33,0.34
190,63,138,Summer,1,31.1,0.77,0.35
160,48,124,Summer,1,19.9,0.42,0.34
180,65,128,Fall,1,22.3,0.46,0.38
173,68,127,Summer,0,21.6,0.4,0.19
176,64,108,Winter,1,26.7,0.5,0.3
201,55,155,Fall,1,16.8,0.75,0.14
173,53,133,Summer,1,2,0.61,0.25
210,52,111,Winter,0,19,0.42,0.3
185,58,118,Fall,0,8.5,0.83,0.36
172,68,115,Summer,1,9.7,0.83,0.48
187,54,108,Summer,0,20.9,0.82,0.34
192,62,153,Summer,1,27.4,0.44,0.4
158,63,125,Fall,1,15.2,0.57,0.3
152,61,129,Winter,1,18.1,0.89,0.35
178,66,111,Winter,1,32,0.76,0.13
174,70,108,Spring,1,17.4,0.32,0.2
163,71,115,Summer,1,41,0.34,0.24
185,58,118,Spring,1,20.7,0.58,0.29
157,54,124,Spring,0,-2.6,0.85,0.12
156,63,108,Winter,0,22.5,0.62,0.16
188,50,125,Fall,0,18.8,0.6,0.21
158,51,133,Fall,0,27.9,0.36,0.49
175,49,123,Winter,0,21.7,0.69,0.23
175,55,110,Fall,0,13.6,0.79,0.29
192,63,112,Springs,0,2.8,0.53,0.18
177,53,121,Summer,1,12.9,0.77,0.34
161,70,91,Winter,1,6.5,0.88,0.21
152,62,118,Summer,1,9.2,0.42,0.18
161,52,114,Fall,1,20.9,0.61,0.31
190,58,92,Summer,0,31.7,0.47,0.1
216,60,124,Fall,0,18.9,0.78,0.1
